SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.2400, 24, -0.02383536, -1.03378808, -0.06704175, 3.73834705, 111.86092377, -46.80899429, -57.00087738, -29.28968048, -74.77346039, 89.34442902, -9.12510300, 93.30789185, -0.44591209, 0.52218491, 0.47082302, 0.55390531, -0.13793129, 0.04701655, 0.05668259, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2500, 25, -0.09399457, -1.04003465, -0.00594618, 5.36255121, 119.87347412, -48.73086166, -56.44548416, -28.17889404, -75.62116241, 89.21194458, -8.62268353, 94.51480865, -0.44306952, 0.51456410, 0.47793767, 0.55721527, -0.05920064, 0.05192421, -0.00681523, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.2900, 29, 1.00375462, -0.03398068, 0.06907628, -4.77492666, -2.91890383, 3.45043230, 79.53814697, -3.39082146, 87.63519287, 135.15344238, 83.84119415, 87.58081055, 0.63226813, -0.32015830, -0.65994793, 0.24940820, -0.00952274, -0.04141747, 0.00719989, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.3000, 30, 1.00562978, -0.03973380, 0.07183057, -5.14173889, -3.62258124, 4.70934200, 79.53814697, -3.39082146, 87.63519287, 134.55656433, 83.83334351, 87.03215027, 0.63272280, -0.32006690, -0.65972823, 0.24895339, -0.01141028, -0.03645867, 0.00381497, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.3100, 31, 1.00470042, -0.03181875, 0.05799849, -3.52234411, -4.29432297, 5.73879766, 78.54428101, -2.80619693, 87.98596954, 133.86666870, 83.82215881, 86.37369537, 0.63319296, -0.32010940, -0.65940720, 0.24855360, -0.01049884, -0.04536889, 0.01686837, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.3200, 32, 1.00967097, -0.04206437, 0.06834149, -0.43509120, -3.71549797, 6.55304098, 78.89505768, -3.01081562, 87.57672882, 133.19775391, 83.80023193, 85.70523071, 0.63356084, -0.32038179, -0.65902817, 0.24827017, -0.01550284, -0.03622768, 0.00582047, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.3300, 33, 1.00390887, -0.04489530, 0.08272469, 0.89708829, -3.35734320, 7.56075144, 80.06430817, -3.44928384, 87.40134430, 132.62634277, 83.77526855, 85.12447357, 0.63384354, -0.32070261, -0.65868390, 0.24804796, -0.00979120, -0.03457483, -0.00914139, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.3400, 34, 1.00347543, -0.05225158, 0.08564655, 1.55473340, -3.36588311, 8.00081444, 79.56737518, -3.06927800, 87.57672882, 131.92221069, 83.73874664, 84.40050507, 0.63416654, -0.32117552, -0.65823996, 0.24778888, -0.00941394, -0.02838252, -0.01257367, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.3500, 35, 0.99384564, -0.08244136, 0.09130150, 1.60557699, -2.64556122, 7.97690344, 79.56737518, -3.06927800, 87.57672882, 131.27743530, 83.69668579, 83.73567200, 0.63444585, -0.32166532, -0.65783501, 0.24751373, 0.00013943, 0.00043661, -0.01871539, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2600, 26, -0.12780279, -1.04350972, 0.05342065, 9.37577057, 133.32147217, -49.06534195, -55.21777344, -29.81584358, -75.70885468, 89.11073303, -8.11249924, 95.85494232, -0.43943968, 0.50635791, 0.48571506, 0.56087017, -0.01663329, 0.05410873, -0.06816024, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2700, 27, -0.12004716, -1.05132318, 0.10078678, 13.89394188, 143.51487732, -49.27431488, -55.21777344, -29.81584358, -75.70885468, 89.05286407, -7.59670973, 97.29549408, -0.43511596, 0.49773329, 0.49403331, 0.56468296, -0.01550278, 0.06068639, -0.11685631, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.3600, 36, 0.99700266, -0.07647789, 0.09372851, 0.06091963, -2.76937461, 7.38927174, 78.31043243, -3.74159598, 87.48903656, 130.65205383, 83.65902710, 83.10585785, 0.63476253, -0.32203305, -0.65747279, 0.24718580, -0.00309552, -0.00684825, -0.02158167, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.3700, 37, 0.99968189, -0.07222199, 0.09264952, 0.23688969, -3.31829739, 6.23258257, 78.98274994, -3.01081562, 87.25518799, 130.06488037, 83.63301849, 82.51266479, 0.63508064, -0.32233214, -0.65710860, 0.24694738, -0.00583224, -0.01226168, -0.02105834, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2800, 28, -0.13017410, -1.04589236, 0.11928344, 17.87641907, 153.33633423, -48.88264084, -54.48699188, -29.02659988, -75.41654205, 89.03529358, -7.08226395, 98.83303833, -0.43009445, 0.48869938, 0.50281084, 0.56865901, 0.00355483, 0.05408382, -0.13594162, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.3800, 38, 1.00143957, -0.08983286, 0.09472698, 0.16402751, -3.81347013, 4.97039700, 80.09353638, -3.27389646, 87.31365204, 129.61439514, 83.60956573, 82.06796265, 0.63534284, -0.32252055, -0.65686023, 0.24668758, -0.00763144, 0.00440519, -0.02368135, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.3900, 39, 0.99922234, -0.09235031, 0.09512696, -1.44969749, -5.29531527, 3.49122715, 79.21660614, -2.95235300, 86.99210358, 129.03636169, 83.61609650, 81.50090790, 0.63576221, -0.32252625, -0.65649951, 0.24655995, -0.00543144, 0.00619328, -0.02472397, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2900, 29, -0.15305665, -1.04211462, 0.12450489, 22.43540955, 163.18885803, -47.39196014, -52.90850449, -30.37123680, -76.52732849, 89.06822205, -6.58208561, 100.46643829, -0.42427441, 0.47933337, 0.51201755, 0.57277298, 0.03520783, 0.04922199, -0.14094457, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3000, 30, -0.16622117, -1.04525495, 0.12978260, 27.24529648, 172.58721924, -45.44944763, -51.85618210, -30.02046204, -76.76117706, 89.14978790, -6.10070038, 102.19557953, -0.41764265, 0.46962586, 0.52160722, 0.57701999, 0.05683849, 0.05137652, -0.14512780, 0.00000000, 0.00000000, 0.00000000, 0.00000000
